section,offence_name,class,minimum,maximum
cc430(4.11),mischief — war memorials — first offence,summary,1000$,729d
cc430(4.11),mischief — war memorials — second offence,summary,14d,729d
cc430(4.11),mischief — war memorials — subsequent offence,summary,30d,729d
cc430(4.2),mischief — cultural property,indictable,None,10y
cc430(4.2),mischief — cultural property,summary,None,summary
cc430(5),mischief — computer data,indictable,None,10y
cc430(5),mischief — computer data,summary,None,summary
cc430(5.1),mischief — omitting to prevent mischief to data,indictable,None,10y
cc430(5.1),mischief — omitting to prevent mischief to data,summary,None,summary
cc431,attack on premises residence or transport of internationally protected person,indictable,None,14y
cc431.1,attack on premises residence or transport of united nations or associated personnel,indictable,None,14y
cc431.2(2),explosive or other lethal device,indictable,None,life
cc432(1),unauthorized recording of a movie,indictable,None,2y
cc432(1),unauthorized recording of a movie,summary,None,summary
cc432(2),unauthorized recording for purpose of sale,indictable,None,5y
cc432(2),unauthorized recording for purpose of sale,summary,None,summary
cc433,arson — disregard for human life,indictable,None,life
cc434,arson — damage to property,indictable,None,14y
cc434.1,arson — own property,indictable,None,14y
cc435,arson — fraudulent purpose,indictable,None,10y
cc435,arson — fraudulent purpose,summary,None,summary
cc436,arson — negligence,indictable,None,5y
cc436,arson — negligence,summary,None,summary
cc436.1,possession of incendiary material,indictable,None,5y
cc436.1,possession of incendiary material,summary,None,summary
cc437,false alarm of fire,indictable,None,2y
cc437,false alarm of fire,summary,None,summary
cc438(1),interfering with saving of wrecked vessel,indictable
cc438(1),interfering with saving of wrecked vessel,summary,None,summary
cc438(2),interfering with saving of wreck,summary,None,summary
cc439,interfering with marine signal,indictable,None,10y
cc439,interfering with marine signal,summary,None,summary
cc440,removing natural bar without permission,indictable,None,2y
cc440,removing natural bar without permission,summary,None,summary
cc441,occupant injuring building,indictable,None,5y
cc441,occupant injuring building,summary,None,summary
cc442,interfering with boundary lines,summary,None,summary
cc443,interfering with international boundary marks,indictable,None,5y
cc443,interfering with international boundary marks,summary,None,summary
cc445,injuring or endangering other animals,indictable,None,5y
cc445,injuring or endangering other animals,summary,None,10000$-729d-729d&10000$
cc445.01,killing or injuring certain animals,indictable,None,5y
cc445.01,killing or injuring certain animals — law enforcement animal killed,indictable,6m,5y
cc445.01,killing or injuring certain animals,summary,None,10000$-729d-729d&10000$
cc445.1,causing unnecessary suffering — animals,indictable,None,5y
cc445.1,causing unnecessary suffering — animals,summary,None,10000$-729d-729d&10000$
cc445.2,owning or breeding cetaceans,summary,None,200000$
cc446,causing damage or injury — animals,indictable,None,2y
cc446,causing damage or injury — animals,summary,None,summary
cc447,arena for animal fighting,indictable,None,5y
cc447,arena for animal fighting,summary,None,10000$-729d-729d&10000$
cc449,making — counterfeit money,indictable,None,14y
cc450,possession — counterfeit money,indictable,None,14y
cc451,having clippings produced by altering currency,indictable,None,5y
cc451,having clippings produced by altering currency,summary,None,summary
cc452,uttering counterfeit money,indictable,None,14y
cc453,uttering coin,indictable,None,2y
cc453,uttering coin,summary,None,summary
cc454,possess or manufacture slugs and tokens,summary,None,summary
cc455,clipping and uttering clipped coin,indictable,None,14y
cc456,defacing current coins,summary,None,summary
cc457,likeness of bank notes,summary,None,summary
cc458,making having or dealing in instruments for counterfeiting,indictable,None,14y
cc459,conveying instruments for coining out of mint,indictable,None,14y
cc460,advertising and dealing in counterfeit money,indictable,None,5y
cc460,advertising and dealing in counterfeit money,summary,None,summary
cc462(1),laundering proceeds of crime,indictable,None,10y
cc462(1),laundering proceeds of crime,summary,None,summary
cc462(2.1),laundering proceeds of crime — criminal organization,indictable,None,14y
cc463(a),attempts accessories — punishable by life,indictable,None,14y
cc463(b),attempts accessories — punishable by 14y or less,indictable,None,7y
cc463(c),attemps accessories — summary conviction,summary,None,summary
cc463(d),attempts accessories — hybrid,indictable,None,7y
cc463(d),attempts accessories — hybrid,summary,None,summary
cc464,counselling offence that is not committed — indictable,indictable,None,14y
cc464,counselling offence that is not committed — summary,summary,None,summary
cc465(1)(a),conspiracy — murder,indictable,None,life
cc465(1)(b)(i),conspiracy — indictable punishable by 14y or less,indictable,None,10y
cc465(1)(b)(i),conspiracy — indictable punishable by 14y or less,summary,None,summary
cc145(1)(b)(ii),conspiracy — indictable punihsable by less than 14y,indictable,None,5y
cc145(1)(b)(ii),conspiracy — indictable punihsable by less than 14y,summary,None,summary
cc465(1)(c),conspiracy — indictable — other,indictable,None,life
cc465(1)(d),conspiracy — summary,summary,None,summary
cc467.11,participation in activities of criminal organization,indictable,None,5y
cc467.11,participation in activities of criminal organization,summary,None,summary
cc467.111(a),recruitment of members by a criminal organization — victim under 18,indictable,6m,5y
cc467.111(b),recruitment of members by a criminal organization,indictable,None,5y
cc467.12,commission of offence for criminal organization,indictable,None,14y
cc467.13,instructing commission of offence for criminal organization,indictable,None,life
cc486.6,failure to comply with publication ban — victims and witnesses,summary,None,summary
cc487.0197,failure to comply with preservation demand,summary,None,5000$
cc487.0198,failure to comply with preservation or production order,summary,None,250000$-729d-729d&250000$
cc487.0199,failure to comply with destruction order,summary,None,summary
cc487.0552,failure to comply with order or summons,indictable,None,2y
cc487.0552,failure to comply with order or summons,summary,None,summary
cc487.08(3),improper use of bodily substances seized — warrant,summary,None,summary
cc487.08(4),improper use of bodily substances seized — order authorization,indictable,None,2y
cc487.08(4),improper use of bodily substances seized — order authorization,summary,None,summary
cc490.031,failure to comply with soira or nda order,indictment,None,10000$-729d-729d&10000$
cc490.031,failure to comply with soira or nda order,summary,None,10000$-729d-729d&10000$
cc490.311,providing false information re soira,indictable,None,10000$-729d-729d&10000$
cc490.311,providing false information re soira,summary,None,10000$-729d-729d&10000$
cc490.0312,failure to advise police re soira,summary,None,summary
cc490.8,failure to comply with restraint order,indictable,None,5y
cc490.8,failure to comply with restraint order,summary,None,summary
cc517,failure to comply with publication ban — bail,summary,None,summary
cc539,failure to comply with publication ban — preliminary inquiry evidence,summary,None,summary
cc542,failure to comply with publication ban — preliminary inquiry documents,summary,None,summary
cc648,failure to comply with publication ban — jury evidence,summary,None,summary
cc649,disclosure of jury proceedings,summary,None,summary
cc672.37,improper application for federal employment,summary,None,summary
672.501,failure to comply with order restricting publication — sexual offences,summary,None,summary
cc732.11,improper use or disclosure of bodily substances seized — probatin order,summary,None,summary
cc733.1,failure to comply with probation order,indictable,None,4y
cc733.1,failure to comply with probation order,summary,None,summary
cc742.31,improper use or disclosure of bodily substances seized — conditional sentence,summary,None,summary
cc743.21,failure to comply with non-communication order — conditional sentence order,indictable,None,2y
cc743.21,failure to comply with non-communication order — conditional sentence order,summary,None,summary
cc753.3,failure to comply with long-term supervision order,indictable,None,10y
cc753.3,failure to comply with long-term supervision order,summary,None,summary
cc810.4,improper use or disclosure of bodily substances seized — recognizance,summary,None,summary
cc811,breach of recognizance,indictable,None,4y
cc811,breach of recognizance,summary,None,summary
