section,offence_name,minimum_indictable,maximum_indictable,minimum_sc,maximum_sc
ycja136,inducing a young person,,2y,,sc
ycja138,failure to comply with pulibication bans,,2y,,sc
ycja139,failure to comply with detention or placement order,,2y,,sc
